Year,GHG,Sector,Subsector,Amount
1996,CO2,Energy,Fugitive emissions,0
1996,CO2,Industrial processes,Mineral,21811.698108013
1996,CO2,Industrial processes,Chemical,3750
1996,CO2,Industrial processes,Metallurgy,7132.0366
1996,CO2,Agricuture,Fermentation,0
1996,CO2,Agricuture,Manure,0
1996,CO2,Agricuture,Rice farming,0
1996,CO2,Agricuture,Soil treatment,0
1996,CO2,Agricuture,Fires,0
1996,CO2,Silviculture,Silviculture,89047.1389353488
1996,CO2,Waste management,Elimination of solid waste,0
1996,CO2,Waste management,Bio-treatment of solid waste,0
1996,CO2,Waste management,Incineration,216.1672161702
1996,CO2,Waste management,Waste water,0
1996,CH4,Energy,Industrial,62.3328881196
1996,CH4,Energy,Manufacture,80.617341474
1996,CH4,Energy,Transport,404.6108892658
1996,CH4,Energy,Other,1066.45355607
1996,CH4,Energy,Fugitive emissions,50988.9812618275
1996,CH4,Industrial processes,Mineral,0
1996,CH4,Industrial processes,Chemical,77.5725776331
1996,CH4,Industrial processes,Metallurgy,0
1996,CH4,Agricuture,Fermentation,35457.64716165
1996,CH4,Agricuture,Manure,1095.0463668735
1996,CH4,Agricuture,Rice farming,242.38284
1996,CH4,Agricuture,Soil treatment,0
1996,CH4,Agricuture,Fires,36.5437346223
1996,CH4,Silviculture,Silviculture,819.9258430585
1996,CH4,Waste management,Elimination of solid waste,6667.2844500602
1996,CH4,Waste management,Bio-treatment of solid waste,214.7428836
1996,CH4,Waste management,Incineration,453.34577925
1996,CH4,Waste management,Waste water,13657.4642267009
1996,N2O,Energy,Industrial,204.943134629
1996,N2O,Energy,Manufacture,194.5177974208
1996,N2O,Energy,Transport,2255.1774320633
1996,N2O,Energy,Other,391.081554
1996,N2O,Energy,Fugitive emissions,0
1996,N2O,Industrial processes,Mineral,0
1996,N2O,Industrial processes,Chemical,1100.748
1996,N2O,Industrial processes,Metallurgy,0
1996,N2O,Agricuture,Fermentation,0
1996,N2O,Agricuture,Manure,5938.1464631837
1996,N2O,Agricuture,Rice farming,0
1996,N2O,Agricuture,Soil treatment,43488.8125597849
1996,N2O,Agricuture,Fires,8.9010096473
1996,N2O,Silviculture,Silviculture,83.2127120485
1996,N2O,Waste management,Elimination of solid waste,0
1996,N2O,Waste management,Bio-treatment of solid waste,127.0566
1996,N2O,Waste management,Incineration,154.37447425
1996,N2O,Waste management,Waste water,1494.4376226078
1997,CO2,Energy,Industrial,123627.143755984
1997,CO2,Energy,Manufacture,56277.8147957055
1997,CO2,Energy,Transport,100408.370224292
1997,CO2,Energy,Other,33123.6347805
1997,CO2,Energy,Fugitive emissions,0
1997,CO2,Industrial processes,Mineral,24856.551131927
1997,CO2,Industrial processes,Chemical,3196.5
1997,CO2,Industrial processes,Metallurgy,7022.7105
1997,CO2,Agricuture,Fermentation,0
1997,CO2,Agricuture,Manure,0
1997,CO2,Agricuture,Rice farming,0
1997,CO2,Agricuture,Soil treatment,0
1997,CO2,Agricuture,Fires,0
1997,CO2,Silviculture,Silviculture,85987.2287268365
1997,CO2,Waste management,Elimination of solid waste,0
1997,CO2,Waste management,Bio-treatment of solid waste,0
1997,CO2,Waste management,Incineration,196.6708821124
1997,CO2,Waste management,Waste water,0
1997,CH4,Energy,Industrial,65.2189059228
1997,CH4,Energy,Manufacture,84.9756940909
1997,CH4,Energy,Transport,403.8196431107
1997,CH4,Energy,Other,1074.46725183
1997,CH4,Energy,Fugitive emissions,52219.9292557356
1997,CH4,Industrial processes,Mineral,0
1997,CH4,Industrial processes,Chemical,75.3309351516
1997,CH4,Industrial processes,Metallurgy,0
1997,CH4,Agricuture,Fermentation,35855.90785917
1997,CH4,Agricuture,Manure,1108.5944543354
1997,CH4,Agricuture,Rice farming,322.50792
1997,CH4,Agricuture,Soil treatment,0
1997,CH4,Agricuture,Fires,36.6556631261
1997,CH4,Silviculture,Silviculture,819.9258430585
1997,CH4,Waste management,Elimination of solid waste,7247.8207725725
1997,CH4,Waste management,Bio-treatment of solid waste,215.0321376
1997,CH4,Waste management,Incineration,410.5717161
1997,CH4,Waste management,Waste water,13228.895399499
1997,N2O,Energy,Industrial,211.984618872
1997,N2O,Energy,Manufacture,208.1655125624
1997,N2O,Energy,Transport,3033.4047818471
1997,N2O,Energy,Other,393.149595
1997,N2O,Energy,Fugitive emissions,0
1997,N2O,Industrial processes,Mineral,0
1997,N2O,Industrial processes,Chemical,850.764
1997,N2O,Industrial processes,Metallurgy,0
1997,N2O,Agricuture,Fermentation,0
1997,N2O,Agricuture,Manure,6050.5393060387
1997,N2O,Agricuture,Rice farming,0
1997,N2O,Agricuture,Soil treatment,43562.6618971099
1997,N2O,Agricuture,Fires,8.9282722329
1997,N2O,Silviculture,Silviculture,83.2127120485
1997,N2O,Waste management,Elimination of solid waste,0
1997,N2O,Waste management,Bio-treatment of solid waste,127.0566
1997,N2O,Waste management,Incineration,139.6480901
1997,N2O,Waste management,Waste water,1547.5894035381
1998,CO2,Energy,Industrial,137881.476366981
1998,CO2,Energy,Manufacture,57122.4393611961
1998,CO2,Energy,Transport,103451.79988092
1998,CO2,Energy,Other,34176.0309165
1998,CO2,Energy,Fugitive emissions,0
1998,CO2,Industrial processes,Mineral,25386.531815835
1998,CO2,Industrial processes,Chemical,2728.5
1998,CO2,Industrial processes,Metallurgy,7245.58341
1998,CO2,Agricuture,Fermentation,0
1998,CO2,Agricuture,Manure,0
1998,CO2,Agricuture,Rice farming,0
1998,CO2,Agricuture,Soil treatment,0
1998,CO2,Agricuture,Fires,0
1998,CO2,Silviculture,Silviculture,83201.4706872069
1998,CO2,Waste management,Elimination of solid waste,0
1998,CO2,Waste management,Bio-treatment of solid waste,0
1998,CO2,Waste management,Incineration,205.2762913256
1998,CO2,Waste management,Waste water,0
1998,CH4,Energy,Industrial,75.7293291006
1998,CH4,Energy,Manufacture,87.0977841581
1998,CH4,Energy,Transport,398.7154390651
1998,CH4,Energy,Other,1081.89411204
1998,CH4,Energy,Fugitive emissions,54267.6972157988
1998,CH4,Industrial processes,Mineral,0
1998,CH4,Industrial processes,Chemical,75.608093294
1998,CH4,Industrial processes,Metallurgy,0
1998,CH4,Agricuture,Fermentation,36145.360575702
1998,CH4,Agricuture,Manure,1093.8406753934
1998,CH4,Agricuture,Rice farming,267.225756
1998,CH4,Agricuture,Soil treatment,0
1998,CH4,Agricuture,Fires,39.0557933946
1998,CH4,Silviculture,Silviculture,819.9258430585
1998,CH4,Waste management,Elimination of solid waste,7905.7433604098
1998,CH4,Waste management,Bio-treatment of solid waste,218.539188
1998,CH4,Waste management,Incineration,424.64247735
1998,CH4,Waste management,Waste water,12972.3398750982
1998,N2O,Energy,Industrial,233.934115769
1998,N2O,Energy,Manufacture,212.7843809211
1998,N2O,Energy,Transport,3906.3356347207
1998,N2O,Energy,Other,398.346435
1998,N2O,Energy,Fugitive emissions,0
1998,N2O,Industrial processes,Mineral,0
1998,N2O,Industrial processes,Chemical,773.76
1998,N2O,Industrial processes,Metallurgy,0
1998,N2O,Agricuture,Fermentation,0
1998,N2O,Agricuture,Manure,6024.9513420135
1998,N2O,Agricuture,Rice farming,0
1998,N2O,Agricuture,Soil treatment,0
1998,N2O,Agricuture,Fires,9.5128753911
1998,N2O,Silviculture,Silviculture,83.2127120485
1998,N2O,Waste management,Elimination of solid waste,0
1998,N2O,Waste management,Bio-treatment of solid waste,127.0566
1998,N2O,Waste management,Incineration,144.10042635
1998,N2O,Waste management,Waste water,1585.1734157021
1999,CO2,Energy,Industrial,136071.809548548
1999,CO2,Energy,Manufacture,51178.0528702691
1999,CO2,Energy,Transport,104849.735004899
1999,CO2,Energy,Other,29596.8315555
1999,CO2,Energy,Fugitive emissions,0
1999,CO2,Industrial processes,Mineral,28718.428672053
1999,CO2,Industrial processes,Chemical,1830
1999,CO2,Industrial processes,Metallurgy,7342.79465
1999,CO2,Agricuture,Fermentation,0
1999,CO2,Agricuture,Manure,0
1999,CO2,Agricuture,Rice farming,0
1999,CO2,Agricuture,Soil treatment,0
1999,CO2,Agricuture,Fires,0
1999,CO2,Silviculture,Silviculture,80105.6540175383
1999,CO2,Waste management,Elimination of solid waste,0
1999,CO2,Waste management,Bio-treatment of solid waste,0
1999,CO2,Waste management,Incineration,201.458641293
1999,CO2,Waste management,Waste water,0
1999,CH4,Energy,Industrial,76.8546397962
1999,CH4,Energy,Manufacture,79.427002676
1999,CH4,Energy,Transport,388.8787327916
1999,CH4,Energy,Other,1088.44924125
1999,CH4,Energy,Fugitive emissions,54999.3996367222
1999,CH4,Industrial processes,Mineral,0
1999,CH4,Industrial processes,Chemical,72.2247326515
1999,CH4,Industrial processes,Metallurgy,0
1999,CH4,Agricuture,Fermentation,35297.065954773
1999,CH4,Agricuture,Manure,1079.5243605228
1999,CH4,Agricuture,Rice farming,218.01276
1999,CH4,Agricuture,Soil treatment,0
1999,CH4,Agricuture,Fires,37.3099641293
1999,CH4,Silviculture,Silviculture,819.9258430585
1999,CH4,Waste management,Elimination of solid waste,9406.9137965831
1999,CH4,Waste management,Bio-treatment of solid waste,219.5685492
1999,CH4,Waste management,Incineration,417.71564835
1999,CH4,Waste management,Waste water,13288.8394591603
1999,N2O,Energy,Industrial,228.729259913
1999,N2O,Energy,Manufacture,194.9820092054
1999,N2O,Energy,Transport,4309.1139374896
1999,N2O,Energy,Other,391.994783
1999,N2O,Energy,Fugitive emissions,0
1999,N2O,Industrial processes,Mineral,0
1999,N2O,Industrial processes,Chemical,643.002
1999,N2O,Industrial processes,Metallurgy,0
1999,N2O,Agricuture,Fermentation,0
1999,N2O,Agricuture,Manure,5961.3868313443
1999,N2O,Agricuture,Rice farming,0
1999,N2O,Agricuture,Soil treatment,43558.644895351
1999,N2O,Agricuture,Fires,9.0876412629
1999,N2O,Silviculture,Silviculture,83.2127120485
1999,N2O,Waste management,Elimination of solid waste,0
1999,N2O,Waste management,Bio-treatment of solid waste,127.0566
1999,N2O,Waste management,Incineration,141.83373735
1999,N2O,Waste management,Waste water,1636.6848751298
2000,CO2,Energy,Industrial,144851.28550618
2000,CO2,Energy,Manufacture,57156.3001304772
2000,CO2,Energy,Transport,109410.285842918
2000,CO2,Energy,Other,30445.87458
2000,CO2,Energy,Fugitive emissions,0
2000,CO2,Industrial processes,Mineral,31626.970155157
2000,CO2,Industrial processes,Chemical,1384.5
2000,CO2,Industrial processes,Metallurgy,7383.789335
2000,CO2,Agricuture,Fermentation,0
2000,CO2,Agricuture,Manure,0
2000,CO2,Agricuture,Rice farming,0
2000,CO2,Agricuture,Soil treatment,0
2000,CO2,Agricuture,Fires,0
2000,CO2,Silviculture,Silviculture,73791.069364467
2000,CO2,Waste management,Elimination of solid waste,0
2000,CO2,Waste management,Bio-treatment of solid waste,0
2000,CO2,Waste management,Incineration,206.7540771819
2000,CO2,Waste management,Waste water,0
2000,CH4,Energy,Industrial,83.3520574047
2000,CH4,Energy,Manufacture,79.2024727301
2000,CH4,Energy,Transport,397.3919187479
2000,CH4,Energy,Other,1235.9321772
2000,CH4,Energy,Fugitive emissions,54354.2068527434
2000,CH4,Industrial processes,Mineral,0
2000,CH4,Industrial processes,Chemical,73.2576601165
2000,CH4,Industrial processes,Metallurgy,0
2000,CH4,Agricuture,Fermentation,35810.090731653
2000,CH4,Agricuture,Manure,1080.2550306182
2000,CH4,Agricuture,Rice farming,224.79744
2000,CH4,Agricuture,Soil treatment,0
2000,CH4,Agricuture,Fires,35.0937599032
2000,CH4,Silviculture,Silviculture,819.9258430585
2000,CH4,Waste management,Elimination of solid waste,10658.3018003646
2000,CH4,Waste management,Bio-treatment of solid waste,220.4395032
2000,CH4,Waste management,Incineration,428.8390743
2000,CH4,Waste management,Waste water,13477.5051289963
2000,N2O,Energy,Industrial,237.191690784
2000,N2O,Energy,Manufacture,185.2799287978
2000,N2O,Energy,Transport,5026.9404990359
2000,N2O,Energy,Other,442.03706
2000,N2O,Energy,Fugitive emissions,0
2000,N2O,Industrial processes,Mineral,0
2000,N2O,Industrial processes,Chemical,278.814
2000,N2O,Industrial processes,Metallurgy,0
2000,N2O,Agricuture,Fermentation,0
2000,N2O,Agricuture,Manure,6044.916484308
2000,N2O,Agricuture,Rice farming,0
2000,N2O,Agricuture,Soil treatment,43855.8946458851
